PERIODO,NATALIDAD,MORTALIDAD,NUPCIALIDAD
ene-19," 173,820 ",73283,31811
feb-19," 150,784 ",61319,67155
mar-19," 167,538 ",62067,41404
abr-19," 161,255 ",59075,36355
may-19," 169,632 ",61319,41404
jun-19," 163,349 ",57580,34840
jul-19," 178,009 ",59823,39889
ago-19," 188,480 ",59823,40394
sep-19," 194,762 ",57580,33830
oct-19," 190,574 ",61319,40899
nov-19," 178,009 ",62814,41909
dic-19," 178,009 ",70292,55037
ene-20," 145,000 ",74225,35906
feb-20," 125,450 ",64118,75167
mar-20," 130,337 ",63792,32886
abr-20," 127,079 ",69117,6041
may-20," 130,337 ",101285,5370
jun-20," 130,337 ",110305,9061
jul-20," 138,483 ",120629,16443
ago-20," 145,000 ",103132,20134
sep-20," 149,888 ",84658,22148
oct-20," 140,113 ",88353,32550
nov-20," 127,079 ",96177,33557
dic-20," 140,113 ",110522,46308
ene-21," 145,326 ",177428,19483
feb-21," 131,941 ",112450,32170
mar-21," 149,150 ",88995,39419
abr-21," 145,326 ",75079,36247
may-21," 152,975 ",69355,38966
jun-21," 152,975 ",65428,36700
jul-21," 164,448 ",82037,41684
ago-21," 172,097 ",123448,35794
sep-21," 183,570 ",106502,33076
oct-21," 179,745 ",82598,38513
nov-21," 170,184 ",72161,41684
dic-21," 164,448 ",66550,59355
ene-22," 153,203 ",100031,31945
feb-22," 138,072 ",91215,55269
mar-22," 153,203 ",69089,43100
abr-22," 143,746 ",61460,40058
may-22," 149,420 ",65020,40565
jun-22," 147,529 ",62138,37522
jul-22," 160,768 ",71124,45128
ago-22," 172,117 ",67818,40058
sep-22," 177,791 ",61969,34987
oct-22," 170,225 ",64851,39551
nov-22," 160,768 ",65953,43607
dic-22," 164,551 ",66885,55269
